time,open,high,low,close
1578002400,1529.108,1535.823,1528.035,1535.002
1578016800,1535.002,1543.906,1532.754,1541.524
1578031200,1541.524,1550.506,1540.26,1546.943
1578045600,1546.943,1551.544,1541,1546.372
1578060000,1546.372,1551.099,1544.194,1548.842
1578074400,1548.842,1553.537,1546.304,1552.394
1578261600,1552.394,1589.739,1552.394,1577.848
1578276000,1577.848,1579.558,1573.641,1575.011
1578290400,1575.011,1578.094,1570.352,1577.324
1578304800,1577.324,1579.346,1571.531,1574.392
1578319200,1574.392,1576.73,1560.938,1564.596
1578333600,1564.596,1568.547,1563.129,1565.916
1578348000,1565.916,1565.916,1556.628,1557.919
1578362400,1557.919,1563.081,1555.388,1562.576
1578376800,1562.576,1570.888,1562.45,1566.256
1578391200,1566.256,1569.605,1563.972,1568.243
1578405600,1568.243,1573.248,1565.664,1571.898
1578420000,1571.898,1577.392,1569.658,1574.282
1578434400,1574.282,1611.498,1573.868,1593.556
1578448800,1593.556,1595.391,1583.754,1594.57
1578463200,1594.57,1595.186,1579.343,1583.792
1578477600,1583.792,1584.876,1568.14,1576.825
1578492000,1576.825,1578.378,1552.766,1562.032
1578506400,1562.032,1562.345,1552.366,1556.43
1578520800,1556.43,1561.38,1553.873,1559.81
1578535200,1559.81,1560.903,1555.154,1555.4
1578549600,1555.4,1555.952,1540.256,1546.447
1578564000,1546.447,1556.584,1545.68,1549.916
1578578400,1549.916,1552.69,1544.924,1549.323
1578592800,1549.323,1555.13,1549.323,1552.426
1578607200,1552.426,1553.935,1547.586,1548.08
1578621600,1548.08,1549.371,1545.784,1548.462
1578636000,1548.462,1552.502,1546.336,1548.402
1578650400,1548.402,1556.663,1546.945,1548.764
1578664800,1548.764,1561.088,1547.862,1559.49
1578679200,1559.49,1563.182,1557.956,1562.212
1578866400,1562.212,1562.212,1554.382,1556.832
1578880800,1556.832,1557.633,1555.052,1555.218
1578895200,1555.218,1555.567,1546.578,1548.002
1578909600,1548.002,1556.181,1547.962,1554.754
1578924000,1554.754,1555.34,1548.763,1549.762
